transactionId,userId,date,amount,type,category,merchantName,description,paymentMode,isRecurring,source
TXN0001234,U001,2025-09-16,3378,Expense,Entertainment,Netflix,Entertainment,Credit Card,false,Entertainment
TXN0001235,U001,2025-10-27,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001236,U001,2025-10-05,17701,Income,Freelance,Client,Freelance project,UPI,false,Freelance
TXN0001237,U001,2025-10-29,4721,Expense,Insurance,Premium Payment,Insurance,UPI,true,Insurance
TXN0001238,U001,2025-10-16,7784,Expense,Dining,Restaurant,Dining,Cash,false,Dining
TXN0001239,U001,2025-10-04,2639,Expense,Entertainment,Amazon Prime,Entertainment,Debit Card,false,Entertainment
TXN0001240,U001,2025-10-14,14972,Expense,Shopping,Flipkart,Shopping,Credit Card,false,Shopping
TXN0001241,U001,2025-10-22,11620,Expense,Shopping,Zara,Shopping,Credit Card,false,Shopping
TXN0001242,U001,2025-10-29,18093,Expense,Shopping,Local Store,Shopping,Debit Card,false,Shopping
TXN0001243,U001,2025-10-20,3148,Expense,Medical,Lab Tests,Medical,Credit Card,false,Medical
TXN0001244,U001,2025-10-28,12563,Expense,Shopping,Local Store,Shopping,UPI,false,Shopping
TXN0001245,U001,2025-10-26,7716,Expense,Utilities,Water Supply,Utilities,UPI,false,Utilities
TXN0001246,U001,2025-10-12,20352,Expense,Rent,Property Management,Rent,Net Banking,true,Rent
TXN0001247,U001,2025-10-07,8408,Expense,Education,Tuition,Education,UPI,false,Education
TXN0001248,U001,2025-10-05,4701,Expense,Transportation,Parking,Transportation,Net Banking,false,Transportation
TXN0001249,U001,2025-11-25,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001250,U001,2025-11-09,6748,Expense,Dining,Food Delivery,Dining,Cash,false,Dining
TXN0001251,U001,2025-11-26,2923,Expense,Transportation,Uber,Transportation,Debit Card,false,Transportation
TXN0001252,U001,2025-11-29,1830,Expense,Transportation,Metro Card,Transportation,Credit Card,false,Transportation
TXN0001253,U001,2025-11-05,3159,Expense,Insurance,Premium Payment,Insurance,Debit Card,true,Insurance
TXN0001254,U001,2025-11-11,5446,Expense,Dining,Food Delivery,Dining,Net Banking,false,Dining
TXN0001255,U001,2025-11-18,3784,Expense,Groceries,Costco,Groceries,Net Banking,false,Groceries
TXN0001256,U001,2025-11-21,3016,Expense,Insurance,Premium Payment,Insurance,UPI,true,Insurance
TXN0001257,U001,2025-11-25,2493,Expense,Utilities,Internet Provider,Utilities,UPI,false,Utilities
TXN0001258,U001,2025-11-28,3297,Expense,Groceries,Amazon Fresh,Groceries,UPI,false,Groceries
TXN0001259,U001,2025-11-13,4039,Expense,Insurance,Premium Payment,Insurance,Debit Card,true,Insurance
TXN0001260,U001,2025-12-25,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001261,U001,2025-12-06,9000,Income,Bonus,Employer,Bonus,Net Banking,false,Bonus
TXN0001262,U001,2025-12-24,4707,Expense,Groceries,Local Market,Groceries,UPI,false,Groceries
TXN0001263,U001,2025-12-03,3695,Expense,Transportation,Ola,Transportation,Net Banking,false,Transportation
TXN0001264,U001,2025-12-05,2489,Expense,Transportation,Parking,Transportation,Cash,false,Transportation
TXN0001265,U001,2025-12-14,3654,Expense,Transportation,Uber,Transportation,Credit Card,false,Transportation
TXN0001266,U001,2025-12-27,7078,Expense,Entertainment,Netflix,Entertainment,Cash,false,Entertainment
TXN0001267,U001,2025-12-03,7318,Expense,Dining,Cafe,Dining,Debit Card,false,Dining
TXN0001268,U001,2025-12-28,6346,Expense,Entertainment,Gaming Store,Entertainment,UPI,false,Entertainment
TXN0001269,U001,2025-12-13,56568,Expense,Rent,Landlord,Rent,Cash,true,Rent
TXN0001270,U001,2026-01-26,15000,Income,Salary,Employer,Monthly salary,Net Banking,true,Salary
TXN0001271,U001,2026-01-26,6552,Expense,Medical,Lab Tests,Medical,Net Banking,false,Medical
TXN0001272,U001,2026-01-05,7437,Expense,Dining,Cafe,Dining,Credit Card,false,Dining
TXN0001273,U001,2026-01-11,4953,Expense,Transportation,Uber,Transportation,Cash,false,Transportation
